paper_id,TAM,UTAUT,STS,TOE,RBV,Dynamic_Capabilities,IDT,Stakeholder_Theory,Just_Digital,dominant_dt_theory,SDG6_Water,SDG7_Energy,dominant_sdg,sdg_margin,method,outcome,outcomes_all
SDG7-134,0.22403163,0.40971005,0.060140215,0.1184362,0.1451902,-0.045523513,0.20819971,0.027139196,0.17139903,UTAUT,0.13413662,0.09624632,SDG6_Water,0.0378903,unknown,access,access|efficiency|sustainability
SDG7-169,0.11349754,0.17442825,0.22647002,0.22916901,0.4295584,0.39633262,0.1811772,0.23868245,-0.018391969,RBV,0.19386178,0.3317201,SDG7_Energy,-0.13785833,unknown,sustainability,sustainability|resilience|quality
SDG7-95,0.16070646,0.12326683,0.2161578,0.2268618,0.26254532,0.2747792,0.292176,0.12807763,-0.009881305,IDT,0.12341176,0.378618,SDG7_Energy,-0.25520623,unknown,access,access|sustainability
SDG7-164,0.28941882,0.19188392,0.22788645,0.309128,0.47614884,0.49336633,0.32784802,0.11473924,0.20064309,Dynamic_Capabilities,0.082459114,0.16520354,SDG7_Energy,-0.08274443,sem,access,access|efficiency|governance|sustainability|quality
SDG7-223,0.3047591,0.22237404,0.2754829,0.3045196,0.39386347,0.5872509,0.3174279,0.15137275,0.13116682,Dynamic_Capabilities,0.17748994,0.20307556,SDG7_Energy,-0.025585622,sem,access,access|efficiency|governance|sustainability|resilience|productivity|quality|equity
SDG7-210,0.3659079,0.31653368,0.2511596,0.34770882,0.31109074,0.38075274,0.28018212,0.120133385,0.30372357,Dynamic_Capabilities,0.23010923,0.23635553,SDG7_Energy,-0.0062462986,survey,access,access|efficiency|governance|sustainability|resilience|quality
SDG7-168,0.107378274,0.18149972,0.15569511,0.19751808,0.3610713,0.19873214,0.22116718,0.03652934,-0.017239794,RBV,-0.03408642,-0.011806961,SDG7_Energy,-0.02227946,sem,access,access|efficiency|governance|quality
SDG7-100,0.20869097,0.2278939,0.2597147,0.21280849,0.25357586,0.40855736,0.25920677,0.07493661,0.123443544,Dynamic_Capabilities,0.11779447,0.2009884,SDG7_Energy,-0.08319393,sem,efficiency,efficiency|governance|sustainability|resilience|productivity|quality
SDG7-191,0.1832299,0.23713416,0.2114281,0.36847657,0.39432758,0.3928542,0.3025831,0.37527725,0.21507981,RBV,0.19500223,0.2723501,SDG7_Energy,-0.077347875,sem,access,access|efficiency|governance|sustainability|quality|equity
SDG7-128,0.021779764,0.06566736,0.29312378,0.0908968,0.16704643,0.25936353,0.011413856,0.11705444,-0.04138127,STS,0.21981099,0.38408434,SDG7_Energy,-0.16427335,sem,access,access|efficiency|sustainability|resilience|quality
SDG7-163,0.24989823,0.18350232,0.26578772,0.28665942,0.33076805,0.49305242,0.2126911,0.19737893,0.28533614,Dynamic_Capabilities,0.19099188,0.2588828,SDG7_Energy,-0.06789091,unknown,access,access
SDG7-120,0.29295677,0.2785157,0.28518784,0.12754641,0.11778793,0.30871823,0.18981636,0.00056399126,0.19523126,Dynamic_Capabilities,0.16350767,0.18385017,SDG7_Energy,-0.020342499,unknown,access,access|efficiency|governance|sustainability|resilience|quality
SDG7-31,0.16729262,0.14262637,0.2050328,0.2506444,0.25500748,0.3994331,0.22210154,0.17703629,0.08177446,Dynamic_Capabilities,0.13351375,0.48217064,SDG7_Energy,-0.3486569,unknown,access,access|efficiency|governance|sustainability|resilience|productivity|quality
SDG7-165,0.19797224,0.16009593,0.22320792,0.29034328,0.18867835,0.16481073,0.18353215,0.2876068,0.31162548,Just_Digital,0.22777072,0.22551337,SDG6_Water,0.002257347,regression,access,access|efficiency|governance|resilience|productivity|quality
SDG7-194,0.33821732,0.23601654,0.3027351,0.42001644,0.24192859,0.29602653,0.33578378,0.14133024,-0.0059528686,TOE,0.14447924,0.39660698,SDG7_Energy,-0.25212774,regression,access,access|efficiency|sustainability
